MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,,11,2.0595,3.0341,1.5425,19.74,44.61,3.3315,4.4523
,,12,2.0585,3.0379,1.5402,19.71,44.52,3.3248,4.4521
,,13,2.0503,3.0436,1.5417,19.72,44.42,3.3144,4.4519
,,14,2.0521,3.0398,1.5414,19.72,44.5,3.318,4.4478
,,15,2.0531,3.0361,1.541,19.71,44.55,3.3122,4.448
,,18,2.0598,3.0416,1.5381,19.67,44.75,3.3473,4.4434
,,19,2.0642,3.0516,1.5378,19.67,44.79,3.3507,4.4471
,,20,2.0609,3.0487,1.5341,19.62,44.7,3.3423,4.4338
,,21,2.0605,3.0634,1.538,19.69,44.61,3.3373,4.4425
,,22,2.0592,3.0634,1.5374,19.68,44.51,3.3373,4.4453
,,25,2.0722,3.0768,1.5387,19.69,44.46,3.3388,4.449
,,26,2.0706,3.0738,1.5378,19.68,44.36,3.3275,4.449
,,27,2.0679,3.0733,1.5385,19.69,44.1,3.3082,4.4523
,,28,2.0687,3.0712,1.5365,19.66,44.27,3.3193,4.4478
,,29,2.0595,3.0684,1.5326,19.61,44.37,3.3137,4.4378
,Jul,2,2.0672,3.0688,1.5273,19.54,44.33,3.3184,4.4257
,,3,2.0749,3.0725,1.523,19.49,44.27,3.3203,4.4331
,,4,2.0739,3.0741,1.5231,19.5,44.14,3.3093,4.4522
,,5,2.0711,3.0658,1.5212,19.47,44.03,3.2987,4.4669
,,6,2.0675,3.057,1.5202,19.45,44.06,3.2928,4.4685
,,9,2.0707,3.0563,1.5197,19.44,44.18,3.3005,4.4783
,,10,2.0669,3.0605,1.5178,19.42,44.21,3.3039,4.5166
,,11,2.0825,3.0694,1.5159,19.39,43.94,3.2888,4.5639
,,12,2.085,3.0814,1.5159,19.39,43.89,3.2976,4.5488
,,13,2.0876,3.0732,1.5147,19.38,43.96,3.3014,4.5562
,,16,2.0915,3.0877,1.5167,19.4,44.03,3.3228,4.5567
,,17,2.0905,3.0888,1.5165,19.39,44.01,3.3503,4.5472
,,18,2.0989,3.1167,1.5182,19.41,44,3.3483,4.5408
,,19,2.0933,3.1139,1.5169,19.4,44.06,3.3604,4.5287
,,20,2.0857,3.0972,1.5117,19.33,44.11,3.3689,4.5025
,,23,2.0903,3.1101,1.511,19.32,44.21,3.3675,4.4883
,,24,2.0799,3.1059,1.5048,19.24,44.23,3.3571,4.4739
,,25,2.0814,3.1028,1.5073,19.27,44.12,3.347,4.476
,,26,2.0706,3.0978,1.5106,19.31,44.05,3.35,4.4822
,,27,2.0831,3.1045,1.5155,19.38,43.76,3.3206,4.4924
,,30,2.0656,3.0654,1.5147,19.36,43.66,3.321,4.49
,,31,2.0736,3.0721,1.5117,19.32,43.77,3.3341,4.4692
,Aug,1,2.0755,3.0821,1.5193,19.41,43.76,3.3252,4.4943
,,2,2.0796,3.091,1.5222,19.44,43.8,3.3189,4.5022
,,3,2.0814,3.0916,1.5186,19.4,43.84,3.3241,4.4856
,,6,2.0972,3.1015,1.5185,19.4,43.72,3.326,4.484
,,7,2.0912,3.0764,1.5144,19.34,43.71,3.3379,4.4732
,,8,2.0818,3.0603,1.5138,19.34,43.71,3.3439,4.4563
,,10,2.0775,3.0732,1.5205,19.44,43.74,3.3253,4.4616
,,13,2.0803,3.0712,1.5179,19.41,43.68,3.3287,4.4546
,,14,2.0716,3.0607,1.5213,19.45,43.77,3.3278,4.4606
,,15,2.0704,3.0515,1.5318,19.58,43.87,3.3124,4.4835
,,16,2.063,3.053,1.5392,19.69,43.88,3.2956,4.4816
,,17,2.0642,3.0423,1.5391,19.69,43.74,3.2822,4.4399
,,20,2.0607,3.0215,1.5271,19.54,43.62,3.2665,4.4412
,,21,2.0555,3.0318,1.5255,19.52,43.64,3.2621,4.4359
,,22,2.0597,3.031,1.5292,19.59,43.71,3.2691,4.4267
,,23,2.0647,3.0411,1.5233,19.5,43.92,3.2835,4.4263
,,24,2.0678,3.0547,1.524,19.51,43.67,3.2609,4.4296
,,27,2.0771,3.0619,1.5191,19.46,43.67,3.2564,4.4198
,,28,2.0749,3.0551,1.5223,19.51,43.54,3.2573,4.4221
,,29,2.0741,3.0557,1.5264,19.58,43.56,3.2553,4.4437
,,30,2.0797,3.0681,1.5225,19.51,43.46,3.2619,4.4349
,,31,2.0816,3.069,1.5224,19.53,43.48,3.2593,4.434
,Sep,3,2.0776,3.072,1.5233,19.54,43.56,3.283,4.4424
,,4,2.0728,3.0751,1.5231,19.54,43.46,3.2716,4.4418
,,5,2.0784,3.0742,1.5261,19.58,43.52,3.2672,4.4486
,,6,2.0829,3.0839,1.5263,19.59,43.5,3.2695,4.4486
,,7,2.0835,3.0799,1.5244,19.57,43.53,3.273,4.445
,,10,2.1006,3.0964,1.5254,19.6,43.39,3.2699,4.4583
,,11,2.1019,3.0884,1.5228,19.57,43.29,3.2431,4.4455
,,12,2.1,3.0811,1.5172,19.49,43.29,3.2478,4.4285
,,13,2.1032,3.0698,1.5132,19.43,43.36,3.2556,4.4181
,,14,2.0987,3.054,1.5128,19.42,43.47,3.2674,4.4169
,,17,2.1004,3.0392,1.5136,19.43,43.43,3.2751,4.4154
,,18,2.1027,3.0181,1.5174,19.48,43.46,3.2632,4.4297
,,19,2.1066,3.033,1.5074,19.36,43.63,3.3075,4.3999
,,20,2.1051,3.0145,1.5061,19.35,43.71,3.3174,4.398
,,21,2.1179,3.0227,1.5046,19.33,43.68,3.3101,4.3936
,,24,2.1218,3.0469,1.5042,19.34,43.82,3.3301,4.3925
,,25,2.112,3.0195,1.5005,19.3,43.68,3.3124,4.3842
,,26,2.1174,3.0206,1.4978,19.28,43.71,3.313,4.3751
,,27,2.1122,3.0134,1.494,19.23,43.69,3.3171,4.3601
,,28,2.1123,3.018,1.4909,19.21,43.63,3.3157,4.3511
,Oct,1,2.1111,3.0266,1.4798,19.06,43.59,3.2974,4.32
,,2,2.1021,3.0175,1.4785,19.04,43.5,3.2969,4.3136
,,3,2.0993,3.0251,1.4807,19.08,43.44,3.2937,4.3245
,,4,2.0924,3.0155,1.4848,19.13,43.4,3.2948,4.3352
,,5,2.0906,3.0147,1.4786,19.06,43.42,3.3038,4.319
,,8,2.0779,3.0018,1.4699,18.94,43.38,3.3125,4.2967
,,9,2.0683,2.9994,1.4749,19,43.36,3.3312,4.3107
,,10,2.0702,2.9907,1.4667,18.9,43.31,3.3202,4.2873
,,11,2.0754,2.9916,1.4662,18.91,43.41,3.3232,4.289
,,12,2.0786,2.9762,1.4641,18.89,43.42,3.3408,4.2854
,,15,2.0765,2.9816,1.4656,18.9,43.5,3.3309,4.2923
,,16,2.082,2.9948,1.4664,18.91,43.33,3.3248,4.2921
,,17,2.0802,2.9829,1.4678,18.93,43.34,3.31,4.2956
,,18,2.0823,2.985,1.4633,18.87,43.4,3.3212,4.283
,,19,2.0945,2.9996,1.4646,18.9,43.56,3.3211,4.2868
,,22,2.095,2.9998,1.4641,18.89,43.35,3.3066,4.2854
,,23,2.081,2.9839,1.4658,18.91,43.39,3.3231,4.2904
,,24,2.0852,2.9975,1.4622,18.87,43.39,3.3187,4.2836
,,25,2.0834,2.9897,1.4601,18.84,43.46,3.3131,4.2743
,,26,2.084,2.9846,1.4545,18.77,43.42,3.3032,4.2592
,,29,2.0936,2.9854,1.4528,18.74,43.48,3.3003,4.2598
,,30,2.0918,2.9915,1.4519,18.73,43.37,3.3016,4.2684
,,31,2.0929,2.9991,1.4492,18.7,43.37,3.314,4.2617
,Nov,1,2.0934,3.0077,1.4472,18.67,43.45,3.3326,4.2646
,,2,2.097,3.0195,1.4514,18.7,43.4,3.352,4.2676
,,5,2.0995,3.0247,1.4489,18.66,43.3,3.3099,4.264
,,6,2.1006,3.0196,1.4504,18.68,43.26,3.3137,4.2627
,,7,2.1114,3.021,1.4434,18.58,43.32,3.3323,4.2515
,,9,2.1208,3.0418,1.4404,18.53,43.36,3.3721,4.244
,,12,2.1191,3.0116,1.447,18.59,43.3,3.3573,4.276
,,13,2.1169,2.9947,1.4538,18.67,43.36,3.3688,4.2948
,,14,2.1159,2.9994,1.4439,18.54,43.23,3.3649,4.2687
,,15,2.1224,2.9747,1.4459,18.57,43.01,3.3524,4.2709
,,16,2.1243,2.9693,1.4534,18.68,42.96,3.3458,4.293
,,19,2.1229,2.9742,1.448,18.6,43.01,3.3491,4.2771
,,20,2.1289,2.9771,1.4528,18.67,42.98,3.3459,4.2868
,,21,2.1465,2.9905,1.4472,18.6,42.98,3.3554,4.2772
,,22,2.1579,2.998,1.4514,18.66,42.91,3.3617,4.2915
,,23,2.1596,2.9971,1.4453,18.59,42.76,3.3503,4.2735
,,26,2.1389,2.9753,1.4416,18.54,42.96,3.3615,4.2607
,,27,2.1436,2.9887,1.4408,18.51,42.82,3.3669,4.2552
,,28,2.1393,2.9833,1.444,18.55,42.78,3.3746,4.2671
,,29,2.1446,3.0034,1.4465,18.57,42.9,3.373,4.2739
,,30,2.1314,2.9812,1.4458,18.56,43.05,3.3999,4.2706
,Dec,3,2.1279,2.9858,1.4519,18.64,43.2,3.4316,4.2892
,,4,2.125,2.9917,1.4497,18.61,43.24,3.4357,4.2837
,,5,2.1359,2.9752,1.4463,18.56,43.26,3.4391,4.2733
,,6,2.1152,2.938,1.4478,18.57,43.31,3.4574,4.2796
,,7,2.1146,2.9281,1.4452,18.54,43.38,3.4611,4.284
,,10,2.1101,2.9271,1.4408,18.48,43.34,3.4576,4.2697
,,11,2.1247,2.9529,1.4426,18.5,43.52,3.4833,4.2903
,,12,2.1146,2.9372,1.4429,18.5,43.4,3.4802,4.294
,,13,2.1239,2.9536,1.4422,18.49,43.54,3.5084,4.2916
,,14,2.112,2.9486,1.4441,18.52,43.55,3.5081,4.2979
,,17,2.098,2.934,1.4526,18.62,43.62,3.5009,4.3187
,,18,2.1027,2.9491,1.4596,18.71,43.58,3.4827,4.3363
,,19,2.1007,2.9368,1.4571,19.87,43.53,3.4917,4.3282
,,21,2.0945,2.8992,1.459,18.7,43.55,3.4999,4.33
,,24,2.0922,2.8841,1.4542,18.63,43.57,3.5185,4.3145
,,26,2.0931,2.8743,1.4524,18.61,43.48,3.5154,4.3085
,,27,2.1031,2.8855,1.4519,18.6,43.45,3.5091,4.2918
,,28,2.1158,2.8904,1.4484,18.58,43.57,3.5009,4.2909
,,31,2.1252,2.8798,1.4412,18.47,43.59,3.4938,4.2785
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2008,Jan,2,2.1072,2.8607,1.441,18.45,43.55,3.5042,4.2874
,,3,2.1143,2.8474,1.4369,18.39,43.46,3.4859,4.2944
,,4,2.1139,2.8274,1.434,18.38,43.67,3.4959,4.2851
,,7,2.1114,2.8253,1.4344,18.39,43.7,3.4977,4.2972
,,8,2.1072,2.8247,1.4329,18.36,43.79,3.5109,4.3017
,,9,2.1079,2.8274,1.4323,18.36,43.77,3.5274,4.3122
,,10,2.1013,2.8025,1.431,18.33,43.83,3.5175,4.3122
,,11,2.1152,2.8028,1.4282,18.3,43.86,3.5188,4.3076
,,14,2.1186,2.8025,1.4308,18.33,43.92,3.5272,4.3168
,,15,2.1268,2.7975,1.4292,18.32,43.89,3.5265,4.3133
,,16,2.1208,2.8046,1.4277,18.31,43.82,3.5096,4.3074
,,17,2.0987,2.8113,1.432,18.35,43.66,3.4889,4.3204
,,18,2.1064,2.8337,1.4388,18.43,43.84,3.505,4.3534
,,21,2.0917,2.8082,1.439,18.43,43.98,3.5102,4.3481
,,22,2.0939,2.8176,1.4503,18.57,43.95,3.4989,4.3684
,,23,2.1032,2.8157,1.4391,18.43,43.72,3.4706,4.3431
,,24,2.0915,2.7953,1.4309,18.33,43.77,3.4817,4.3236
,,25,2.1004,2.814,1.4231,18.22,43.89,3.4816,4.3046
,,28,2.0877,2.8109,1.4224,18.22,43.85,3.4744,4.3038
,,29,2.096,2.8167,1.4194,18.19,43.86,3.4845,4.296
,,30,2.0987,2.8306,1.4212,18.21,43.87,3.4945,4.3015
,,31,2.1053,2.8144,1.4184,18.18,43.83,3.4884,4.2943
,Feb,1,2.1066,2.821,1.4164,18.17,43.78,3.4964,4.2999
,,4,2.0958,2.7845,1.4151,18.14,43.82,3.4898,4.3012
,,5,2.0956,2.7887,1.4145,18.13,43.77,3.4729,4.2955
,,6,2.0779,2.7895,1.4194,18.2,43.92,3.4948,4.3123
,,11,2.0612,2.7633,1.4187,18.19,43.82,3.4789,4.3102
,,12,2.0585,2.7663,1.4184,18.19,43.72,3.4688,4.3132
,,13,2.0642,2.7736,1.4161,18.15,43.78,3.4721,4.3056
,,14,2.0672,2.7846,1.4192,18.2,43.83,3.4678,4.3275
,,15,2.0697,2.7843,1.4142,18.13,43.78,3.4577,4.338
,,18,2.0722,2.7681,1.4116,18.1,43.82,3.4743,4.3414
,,19,2.0695,2.753,1.4116,18.1,43.82,3.4756,4.342
,,20,2.0789,2.7508,1.4114,18.09,43.83,3.4759,4.3475
,,21,2.0773,2.7411,1.4109,18.09,43.8,3.4632,4.3459
,,22,2.0844,2.7684,1.4077,18.05,43.75,3.4583,4.3495
,,25,2.0816,2.7629,1.405,18.02,43.68,3.4542,4.3505
,,26,2.0835,2.7626,1.4052,18.02,43.73,3.4679,4.3572
,,27,2.1014,2.7839,1.4014,17.99,43.75,3.4677,4.3522
,,28,2.1071,2.7669,1.3947,17.92,43.57,3.4565,4.3578
,,29,2.1141,2.7692,1.3929,17.91,43.68,3.4431,4.3617
,Mar,3,2.1234,2.7702,1.3965,17.95,43.64,3.4388,4.4214
,,4,2.1142,2.7607,1.3909,17.87,43.6,3.4221,4.3946
,,5,2.1109,2.7565,1.3896,17.85,43.66,3.4147,4.4023
,,6,2.1191,2.7614,1.3875,17.82,43.79,3.415,4.3936
,,7,2.1325,2.7885,1.3866,17.81,43.69,3.3989,4.3928
,,10,2.1342,2.8003,1.3872,17.81,43.31,3.3719,4.3982
,,11,2.1347,2.7878,1.3893,17.84,43.4,3.3651,4.4
,,12,2.1312,2.7918,1.3873,17.81,43.58,3.3705,4.3923
,,13,2.152,2.8061,1.3824,17.75,43.71,3.3365,4.3879
,,14,2.1573,2.8078,1.3828,17.77,43.64,3.3288,4.401
,,17,2.1963,2.7907,1.3856,17.84,43.44,3.3236,4.4099
,,18,2.181,2.7694,1.3815,17.79,43.44,3.3126,4.4187
,,19,2.1639,2.776,1.3795,17.75,43.56,3.3177,4.4315
,,20,2.1625,2.7456,1.3866,17.83,43.63,3.3432,4.4336
,,24,2.1349,2.7484,1.3908,17.87,43.47,3.3409,4.4342
,,25,2.1565,2.7608,1.3861,17.81,43.3,3.3296,4.3815
,,26,2.1564,2.764,1.3793,17.72,43.37,3.3148,4.3951
,,27,2.1817,2.7664,1.3797,17.73,43.17,3.2987,4.3932
,,28,2.1809,2.7717,1.3809,17.75,43.05,3.3008,4.3901
,,31,2.1807,2.7529,1.3799,17.73,43.26,3.3079,4.3758
,Apr,1,2.1751,2.7344,1.3785,17.71,43.35,3.3075,4.3825
,,2,2.1572,2.7336,1.3827,17.75,43.37,3.3302,4.3784
,,3,2.1637,2.7469,1.3829,17.75,43.36,3.3275,4.377
,,4,2.167,2.7604,1.3842,17.77,43.34,3.3174,4.3697
,,7,2.1653,2.7494,1.3817,17.74,43.35,3.3174,4.3621
,,8,2.1758,2.7493,1.3812,17.73,43.34,3.3098,4.34
,,9,2.1687,2.7161,1.3811,17.73,43.38,3.3146,4.3506
,,10,2.1563,2.6912,1.3609,17.48,43.17,3.2692,4.3046
,,11,2.1429,2.6835,1.3586,17.44,43.1,3.2627,4.2953
,,14,2.1368,2.6801,1.3603,17.46,43.02,3.2609,4.3068
,,15,2.1477,2.6794,1.357,17.41,42.91,3.2487,4.2963
,,16,2.1423,2.6616,1.357,17.41,42.9,3.2418,4.2984
,,17,2.1557,2.6659,1.3511,17.34,42.88,3.2269,4.296
,,18,2.1506,2.6911,1.3525,17.35,42.98,3.2245,4.3024
,,21,2.1425,2.7078,1.3535,17.37,43.05,3.2313,4.2934
,,22,2.1519,2.6789,1.3521,17.35,43.03,3.225,4.2931
,,23,2.1557,2.6891,1.3481,17.29,43.05,3.2124,4.2926
,,24,2.1422,2.6754,1.3517,17.35,43.12,3.2218,4.2911
,,25,2.1314,2.6817,1.3581,17.43,43.12,3.2282,4.2944
,,28,2.1308,2.7032,1.3625,17.48,43.18,3.2337,4.2934
,,29,2.1285,2.7058,1.3599,17.45,43.12,3.22,4.298
,,30,2.1206,2.6812,1.3619,17.47,43.13,3.2248,4.2881
,May,2,2.1047,2.6909,1.3622,17.47,43.07,3.2177,4.2958
,,5,2.1067,2.6899,1.3617,17.47,43.04,3.2161,4.2922
,,6,2.1081,2.6813,1.3579,17.42,43.14,3.214,4.2849
,,7,2.1068,2.6757,1.3585,17.43,43.1,3.2051,4.2828
,,8,2.1037,2.681,1.3741,17.63,42.84,3.2226,4.3099
,,9,2.1144,2.6855,1.373,17.61,42.79,3.224,4.3
,,12,2.1114,2.6679,1.3704,17.58,42.61,3.2152,4.2579
,,13,2.1257,2.6729,1.368,17.55,42.5,3.1996,4.2386
,,14,2.1277,2.6782,1.3766,17.65,42.35,3.2152,4.2409
,,15,2.1405,2.6934,1.3842,17.74,42.3,3.2322,4.265
,,16,2.1274,2.6778,1.375,17.63,42.26,3.2152,4.2478
,,20,2.1263,2.6721,1.3691,17.55,42.08,3.1843,4.2591
,,21,2.1391,2.6881,1.3652,17.5,42.27,3.1613,4.2823
,,22,2.1428,2.6784,1.3587,17.42,42.31,3.1296,4.2653
,,23,2.1421,2.6952,1.3616,17.45,42.33,3.1355,4.2464
,,26,2.1441,2.6961,1.3601,17.43,42.21,3.1174,4.2292
,,27,2.1492,2.698,1.3613,17.44,41.89,3.1151,4.2113
,,28,2.1386,2.6914,1.3626,17.46,42.01,3.1249,4.2225
,,29,2.1327,2.6972,1.3638,17.47,42.11,3.1084,4.2073
,,30,2.1184,2.6977,1.3651,17.49,42.09,3.1184,4.2055
,Jun,2,2.1184,2.6899,1.3633,17.47,42.26,3.1286,4.1993
,,3,2.1176,2.6764,1.3631,17.47,42.29,3.1224,4.1717
,,4,2.1076,2.6778,1.3638,17.47,42.18,3.1091,4.1789
,,5,2.1087,2.6723,1.3697,17.54,42.02,3.107,4.1664
,,6,2.1293,2.6764,1.3665,17.5,41.94,3.093,4.1447
,,9,2.1513,2.6822,1.3627,17.45,41.76,3.0844,4.0787
,,10,2.1296,2.6915,1.3668,17.5,41.8,3.076,4.1412
,,11,2.1248,2.6834,1.3728,17.58,41.96,3.0867,4.1381
,,12,2.1333,2.6976,1.3775,17.65,42.08,3.0981,4.156
,,13,2.1303,2.6859,1.3785,17.65,42.1,3.1082,4.159
,,16,2.1184,2.6848,1.3757,17.61,42.01,3.0967,4.1331
,,17,2.1235,2.6896,1.3671,17.5,41.99,3.0796,4.1103
,,18,2.1186,2.6692,1.3663,17.5,42.14,3.0943,4.1247
,,19,2.1293,2.6818,1.3678,17.53,41.95,3.0808,4.094
,,20,2.121,2.6947,1.3673,17.52,41.96,3.0816,4.0803
,,23,2.1314,2.694,1.3648,17.49,41.81,3.0673,4.0832
,,24,2.1232,2.6876,1.3682,17.52,41.9,3.0653,4.0763
,,25,2.1299,2.6953,1.3677,17.52,41.9,3.0668,4.0766
,,26,2.1391,2.6931,1.3644,17.48,41.9,3.0692,4.0668
,,27,2.1469,2.7104,1.3646,17.49,41.79,3.0769,4.0643
,,30,2.1493,2.7142,1.3616,17.45,41.68,3.0329,4.0614
,Jul,1,2.1436,2.7083,1.3604,17.45,41.65,3.0317,4.0603
,,2,2.1532,2.7165,1.3626,17.47,41.62,3.0149,4.0796
,,3,2.156,2.7043,1.358,17.41,41.58,2.9986,4.0707
,,4,2.1389,2.7004,1.3609,17.45,41.65,2.9903,4.0721
,,7,2.1311,2.6934,1.3621,17.47,41.71,2.9938,4.0539
,,8,2.1413,2.691,1.3631,17.47,41.82,2.9752,4.0466
,,9,2.1351,2.6842,1.363,17.47,41.91,2.9825,4.0451
,,10,2.1409,2.6974,1.3612,17.45,41.98,2.9813,4.0422
,,11,2.1483,2.6913,1.3602,17.43,41.9,2.9676,4.038
,,14,2.1569,2.6929,1.3561,17.38,41.91,2.9781,4.0282
,,15,2.1493,2.6946,1.3482,17.28,41.94,2.9748,4.0263
,,16,2.1438,2.7006,1.3478,17.29,41.81,2.9642,4.0239
,,17,2.1405,2.7031,1.3504,17.32,41.83,2.986,4.0316
,,18,2.1439,2.7028,1.3529,17.35,41.7,3.0412,4.0476
,,21,2.1445,2.6966,1.3514,17.33,41.75,3.0451,4.0552
,,22,2.1542,2.7078,1.3526,17.35,41.73,3.0304,4.0533
,,23,2.1445,2.7066,1.3577,17.41,41.88,3.0813,4.0698
,,24,2.1378,2.7209,1.362,17.46,41.99,3.0981,4.0687
,,25,2.1354,2.7031,1.3611,17.45,41.83,3.0874,4.0703
,,28,2.1442,2.7149,1.3638,17.49,41.78,3.0981,4.0765
,,29,2.1454,2.715,1.3627,17.47,41.81,3.0768,4.0684
,,30,2.131,2.7086,1.367,17.52,41.9,3.0966,4.0812
,,31,2.1318,2.7094,1.3676,17.53,41.92,3.0931,4.0781
,Aug,1,2.1323,2.7152,1.3695,17.55,41.99,3.1002,4.0826
,,4,2.1347,2.7043,1.3692,17.54,41.93,3.0789,4.0841
,,5,2.135,2.6932,1.3743,17.61,42.04,3.1151,4.089
,,6,2.1343,2.6953,1.3774,17.65,42.04,3.1422,4.0945
,,7,2.1352,2.6949,1.3835,17.72,42.13,3.1511,4.1096
,,8,2.1281,2.6992,1.3986,17.91,42.43,3.1546,4.1545
,,11,2.1084,2.7013,1.407,18.01,42.43,3.1657,4.172
,,12,2.0995,2.6905,1.4105,18.06,42.31,3.1629,4.1805
,,13,2.0984,2.6676,1.4052,18,42.36,3.1457,4.1741
,,14,2.0993,2.6325,1.4092,18.05,42.31,3.1375,4.1835
,,15,2.0892,2.6373,1.4139,18.1,42.31,3.1229,4.1862
,,18,2.0841,2.6417,1.4123,18.07,42.34,3.1246,4.1728
,,19,2.0763,2.6344,1.4133,18.09,42.35,3.1089,4.1641
,,20,2.0806,2.6295,1.4087,18.04,42.28,3.0842,4.1244
,,21,2.0905,2.6382,1.4148,18.12,42.33,3.0992,4.1496
,,22,2.0904,2.6357,1.4061,18.01,42.09,3.0802,4.1472
,,25,2.0888,2.6133,1.4191,18.17,42.14,3.1165,4.1567
,,26,2.0907,2.6246,1.4211,18.2,41.92,3.0905,4.1522
,,27,2.0871,2.6165,1.417,18.15,42.02,3.0979,4.1493
,,28,2.0904,2.5961,1.4134,18.1,41.87,3.0901,4.1522
,,29,2.0876,2.5933,1.416,18.14,41.75,3.0846,4.1422
,Sep,1,2.0811,2.5636,1.4216,18.21,41.76,3.0711,4.1507
,,2,2.0826,2.5576,1.4293,18.31,41.76,3.0741,4.1489
,,3,2.079,2.5551,1.434,18.36,41.69,3.0809,4.1638
,,4,2.0745,2.5373,1.4293,18.3,41.68,3.0616,4.1507
,,5,2.051,2.5252,1.4364,18.4,41.54,3.065,4.1569
,,8,2.0416,2.5407,1.417,18.15,41.49,3.0601,4.1174
,,9,2.0205,2.5183,1.4347,18.39,41.56,3.0659,4.1453
,,10,2.0239,2.5224,1.4315,18.35,41.38,3.0568,4.1355
,,11,2.0097,2.5211,1.4403,18.47,41.51,3.0583,4.1489
,,12,2.0133,2.5289,1.438,18.44,41.59,3.0592,4.1375
,,15,2.0649,2.5806,1.4293,18.34,41.46,3.0411,4.1387
,,16,2.0361,2.5706,1.4353,18.42,41.57,3.0345,4.1791
,,17,2.0332,2.5588,1.4357,18.44,41.65,3.0527,4.1845
,,18,2.0582,2.6111,1.4338,18.43,41.43,3.0342,4.1918
,,19,2.039,2.5902,1.4348,18.43,41.44,3.0753,4.1972
,,22,2.0651,2.6067,1.4204,18.26,41.56,3.0685,4.1844
,,23,2.0843,2.6143,1.4104,18.16,41.46,3.0318,4.1839
,,24,2.0774,2.6232,1.4149,18.22,41.37,3.0497,4.167
,,25,2.09,2.6389,1.4212,18.29,41.45,3.0524,4.1769
,,26,2.0867,2.622,1.4222,18.28,41.43,3.0523,4.1879
,,29,2.0725,2.6132,1.429,18.38,41.52,3.0453,4.1999
,,30,2.0558,2.5775,1.4314,18.43,41.4,3.0288,4.2044
,Oct,2,2.0109,2.548,1.4386,18.51,41.74,3.0667,4.2262
,,3,2.0052,2.5609,1.4484,18.64,41.67,3.0693,4.2388
,,6,1.9871,2.5651,1.4581,18.76,41.87,3.0758,4.2417
,,7,1.9826,2.5643,1.4609,18.8,41.9,3.0728,4.245
,,8,1.995,2.5699,1.467,18.88,41.93,3.0845,4.2503
,,9,2.0096,2.5406,1.4687,18.91,41.93,3.091,4.2726
,,10,2.0084,2.5134,1.4823,19.09,42.21,3.1007,4.3096
,,13,1.9968,2.5135,1.4755,19.01,42.03,3.1119,4.2999
,,14,1.9979,2.562,1.4599,18.8,41.82,3.1009,4.2806
,,15,1.9954,2.5613,1.4689,18.92,41.85,3.0927,4.307
,,16,1.9947,2.5621,1.4813,19.1,42.03,3.0812,4.3237
,,17,1.9906,2.5629,1.4787,19.06,41.95,3.0803,4.3136
,,20,1.9892,2.5629,1.4782,19.05,41.96,3.0659,4.3134
,,21,1.9692,2.5388,1.4765,19.04,41.88,3.0649,4.3022
,,22,1.9321,2.4571,1.4954,19.28,42.25,3.0722,4.3395
,,23,1.9171,2.4361,1.5029,19.38,42.08,3.0675,4.355
,,24,1.9206,2.4155,1.5035,19.39,42.03,3.0721,4.3335
,,28,1.8771,2.3477,1.5121,19.51,42.09,3.0609,4.3289
,,29,1.9063,2.4006,1.4989,19.33,41.94,3.0555,4.3016
,,30,1.9372,2.4309,1.4657,18.91,41.26,3.0087,4.2154
,,31,1.9017,2.4249,1.4807,19.1,41.56,3.0245,4.2276
,Nov,3,1.8921,2.3973,1.4727,19,41.84,3.024,4.2119
,,4,1.8684,2.3334,1.4857,19.17,41.94,3.047,4.2449
,,5,1.904,2.3463,1.4703,18.97,41.76,3.0625,4.2147
,,6,1.9109,2.3516,1.4857,19.17,41.93,3.0665,4.237
,,7,1.9032,2.342,1.4935,19.27,42.02,3.0598,4.2629
,,10,1.9115,2.3516,1.4857,19.17,41.99,3.0665,4.2503
,,11,1.9063,2.3443,1.4964,19.31,41.83,3.0673,4.2828
,,12,1.8879,2.3168,1.5048,19.41,41.93,3.0685,4.3062
,,13,1.8903,2.263,1.5132,19.52,42.07,3.0604,4.3179
,,14,1.9323,2.2532,1.5113,19.5,42.08,3.0674,4.3192
,,17,1.9139,2.245,1.5214,19.63,42.3,3.0664,4.3487
,,18,1.925,2.2855,1.5266,19.7,42.41,3.0556,4.3598
,,19,1.9286,2.2848,1.5283,19.72,42.34,3.0575,4.3635
,,20,1.913,2.288,1.5298,19.74,42.21,3.0614,4.3565
,,21,1.9107,2.2624,1.5327,19.78,42.24,3.064,4.3493
