MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,,24,,3.0657,1.769,22.72,64.18,,
,,31,,3.0241,1.7649,22.82,63.96,,
,Jun,7,,2.9953,1.7755,22.95,64.1,,
,,14,,2.9268,1.7882,23.13,64.13,,
,,21,,2.8942,1.7805,23.05,63.93,,
,,28,,2.8769,1.7655,22.79,63.45,,
,Jul,5,,2.8339,1.7679,22.76,63.28,,
,,12,,2.8331,1.7639,22.72,63.21,,
,,19,,2.9185,1.7503,22.55,62.89,,
,,26,,2.9425,1.7526,22.61,62.89,,
,Aug,2,,2.9184,1.7423,22.43,62.5,,
,,8,,2.9568,1.72,22.15,62.28,,
,,16,,2.8854,1.7252,22.22,62.12,,
,,23,,2.9086,1.7239,22.19,62.01,,
,,30,,2.8965,1.7195,22.16,61.75,,
,Sep,6,,2.9096,1.7171,22.13,61.84,,
,,13,,2.9357,1.7017,21.96,61.69,,
,,20,,2.9323,1.696,21.87,61.67,,
,,27,,2.9311,1.6948,21.88,61.64,,
,Oct,4,,2.9471,1.6875,21.79,61.68,,
,,11,,2.9057,1.694,21.87,61.69,,
,,18,,2.9099,1.6925,21.82,61.67,,
,,25,,2.9043,1.694,21.84,61.63,,
,Nov,1,,2.942,1.6879,21.72,61.43,,
,,8,,2.9682,1.6798,21.64,61.2,,
,,15,,2.9749,1.6756,21.6,61.14,,
,,22,,2.9816,1.6639,21.46,60.76,,
,,29,,2.9391,1.6643,21.45,60.47,,
,Dec,6,,2.9729,1.6562,21.29,60.3,,
